Name,Symbol
Bitcoin,BTC
Ethereum ,ETH
Binance Coin ,BNB
Tether ,USDT
Solana ,SOL
Cardano ,ADA
USD Coin ,USDC
XRP ,XRP
Terra ,LUNA
Polkadot,DOT
Avalanche ,AVAX
Dogecoin ,DOGE
Shiba Inu ,SHIB
Polygon ,MATIC
Binance USD ,BUSD
Crypto.com Coin ,CRO
Wrapped Bitcoin ,WBTC
Algorand ,ALGO
Cosmos ,ATOM
Chainlink ,LINK
Litecoin ,LTC
TerraUSD ,UST
Dai ,DAI
Uniswap ,UNI
Bitcoin Cash ,BCH
TRON ,TRX
OKB ,OKB
Stellar ,XLM
Fantom ,FTM
Axie Infinity ,AXS
Lido Staked Ether ,STETH
VeChain ,VET
Hedera ,HBAR
FTX Token ,FTT
Internet Computer ,ICP
cETH ,CETH
The Sandbox ,SAND
Filecoin ,FIL
Elrond ,EGLD
Theta Network ,THETA
Ethereum Classic, ETC
Magic Internet Money ,MIM
Tezos ,XTZ
Decentraland ,MANA
Monero ,XMR
Helium ,HNT
IOTA ,MIOTA
Klaytn ,KLAY
Aave ,AAVE
LEO Token ,LEO
cDAI ,CDAI
The Graph ,GRT
Gala ,GALA
Harmony ,ONE
EOS ,EOS
PancakeSwap ,CAKE
cUSDC ,CUSDC
Arweave ,AR
Flow ,FLOW
Kusama ,KSM
BitTorrent ,BTT
Enjin Coin ,ENJ
Loopring ,LRC
Curve DAO Token ,CRV
Stacks ,STX
Quant ,QNT
Radix ,XRD
Olympus ,OHM
Amp ,AMP
Bitcoin SV ,BSV
eCash ,XEC
Maker ,MKR
THORChain ,RUNE
Convex Finance ,CVX
Osmosis ,OSMO
Basic Attention Token ,BAT
Celo ,CELO
Frax ,FRAX
Theta Fuel ,TFUEL
NEO ,NEO
Spell Token ,SPELL
Kadena ,KDA
Huobi BTC ,HBTC
Zcash ,ZEC
Sushi ,SUSHI
KuCoin Token ,KCS
Celsius Network ,CELO
Bitcoin Cash ABC ,BCHA
Chiliz ,CHZ
Waves ,WAVES
Oasis Network ,ROSE
ECOMI ,OMI
Huobi Token ,HT
Dash ,DASH
NEXO ,NEXO
Compound ,COMP
yearn.finance ,YFI
Holo ,HOT
Synthetix Network Token ,SNX
TrueUSD ,TUSD
